71,nm0001557,2023-04-27,2023-04-27,,"Viggo Mortensen","Captain Fantastic","20 de octubre de 1958"
72,nm0005212,2023-04-27,2023-04-27,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","25 de mayo de 1939"
73,nm0089217,2023-04-27,2023-04-27,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","13 de enero de 1977"
74,nm0785227,2023-04-27,2023-04-27,,"Andy Serkis","War for the Planet of the Apes","20 de abril de 1964"
75,nm0000849,2023-04-27,2023-04-27,,"Javier Bardem","Skyfall","1 de marzo de 1969"
76,nm0365140,2023-04-27,2023-04-27,,"Naomie Harris","Moonlight","6 de septiembre de 1976"
77,nm0185819,2023-04-27,2023-04-27,,"Daniel Craig","No Time to Die","2 de marzo de 1968"
78,nm0350453,2023-04-27,2023-04-27,,"Jake Gyllenhaal","Nightcrawler","19 de diciembre de 1980"
79,nm0479471,2023-04-27,2023-04-27,,"Shia LaBeouf","Honey Boy","11 de junio"
80,nm0241049,2023-04-27,2023-04-27,,"Josh Duhamel","Transformers","14 de noviembre de 1972"
81,nm0001806,2023-04-27,2023-04-27,,"John Turturro","Fading Gigolo","28 de febrero de 1957"
82,nm0000554,2023-04-27,2023-04-27,,"Sam Neill","Jurassic Park","14 de septiembre de 1947"
83,nm0000368,2023-04-27,2023-04-27,,"Laura Dern","Jurassic Park","10 de febrero de 1967"
84,nm0000156,2023-04-27,2023-04-27,,"Jeff Goldblum","Jurassic Park","22 de octubre de 1952"
85,nm0000242,2023-04-27,2023-04-27,,"Mark Wahlberg","The Fighter","5 de junio de 1971"
86,nm0000288,2023-04-27,2023-04-27,,"Christian Bale","The Dark Knight","30 de enero de 1974"
87,nm0000198,2023-04-27,2023-04-27,,"Gary Oldman","The Dark Knight","21 de marzo de 1958"
88,nm0004266,2023-04-27,2023-04-27,,"Anne Hathaway","Les Misérables","12 de noviembre de 1982"
89,nm0362766,2023-04-27,2023-04-27,,"Tom Hardy","Inception","15 de septiembre de 1977"
90,nm0000151,2023-04-27,2023-04-27,,"Morgan Freeman","Se7en","1 de junio de 1937"
91,nm0000323,2023-04-27,2023-04-27,,"Michael Caine","Youth","14 de marzo de 1933"
92,nm0182839,2023-04-27,2023-04-27,,"Marion Cotillard","Inception","30 de septiembre de 1975"
93,nm0001618,2023-04-27,2023-04-27,,"Joaquin Phoenix","Walk the Line","28 de octubre de 1974"
94,nm0000136,2023-04-27,2023-04-27,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","9 de junio de 1963"
95,nm0461136,2023-04-27,2023-04-27,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","26 de marzo de 1985"
96,nm0428065,2023-04-27,2023-04-27,,"Felicity Jones","Rogue One","17 de octubre de 1983"
97,nm0526019,2023-04-27,2023-04-27,,"Diego Luna","Rogue One","29 de diciembre de 1979"
98,nm0578853,2023-04-27,2023-04-27,,"Ben Mendelsohn","Rogue One","3 de abril de 1969"
99,nm1981893,2023-04-27,2023-04-27,,"Riz Ahmed","Sound of Metal","1 de diciembre de 1982"
100,nm4565815,2023-04-27,2023-04-27,,"Mena Massoud","Aladdin","17 de septiembre de 1991"
101,nm4305463,2023-04-27,2023-04-27,,"Naomi Scott","Aladdin","6 de mayo de 1993"
102,nm0000226,2023-04-27,2023-04-27,,"Will Smith","The Fresh Prince of Bel-Air","25 de septiembre de 1968"
103,nm0004851,2023-04-27,2023-04-27,,"Penélope Cruz","Vicky Cristina Barcelona","28 de abril de 1974"
104,nm0000553,2023-04-27,2023-04-27,,"Liam Neeson","Kinsey","7 de junio de 1952"
105,nm0000191,2023-04-27,2023-04-27,,"Ewan McGregor","Moulin Rouge!","31 de marzo de 1971"
106,nm0000204,2023-04-27,2023-04-27,,"Natalie Portman","Black Swan","9 de junio de 1981"
107,nm1985859,2023-04-27,2023-04-27,,"Mia Wasikowska","Alice in Wonderland","25 de octubre de 1989"
108,nm0000307,2023-04-27,2023-04-27,,"Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","26 de mayo de 1966"
109,nm0293509,2023-04-27,2023-04-27,,"Martin Freeman","Black Panther","8 de septiembre de 1971"
110,nm0005132,2023-04-27,2023-04-27,,"Heath Ledger","Brokeback Mountain","4 de abril de 1979"
111,nm0085312,2023-04-27,2023-04-27,,"Jack Black","School of Rock","28 de agosto de 1969"
112,nm0366389,2023-04-27,2023-04-27,,"Kevin Hart","Ride Along","6 de julio de 1979"
113,nm5888481,2023-04-27,2023-04-27,,"Neel Sethi","The Jungle Book","22 de diciembre de 2003"
114,nm0000195,2023-04-27,2023-04-27,,"Bill Murray","Lost in Translation","21 de septiembre de 1950"
115,nm0001426,2023-04-27,2023-04-27,,"Ben Kingsley","Sexy Beast","31 de diciembre de 1943"
116,nm0252961,2023-04-27,2023-04-27,,"Idris Elba","Beasts of No Nation","6 de septiembre de 1972"
117,nm0035514,2023-04-27,2023-04-27,,"Richard Armitage","The Hobbit: An Unexpected Journey","22 de agosto de 1971"
118,nm0000949,2023-04-27,2023-04-27,,"Cate Blanchett","Carol","14 de mayo de 1969"
119,nm0001691,2023-04-27,2023-04-27,,"Geoffrey Rush","The King's Speech","6 de julio de 1951"
120,nm1431940,2023-04-27,2023-04-27,,"Evangeline Lilly","The Hobbit: The Desolation of Smaug","3 de agosto de 1979"
121,nm0000239,2023-04-27,2023-04-27,,"Liv Tyler","Armageddon","1 de julio de 1977"
122,nm0915989,2023-04-27,2023-04-27,,"Hugo Weaving","The Lord of the Rings: The Return of the King","4 de abril de 1960"
123,nm0000276,2023-04-27,2023-04-27,,"Sean Astin","The Lord of the Rings: The Two Towers","25 de febrero de 1971"
124,nm0000614,2023-04-27,2023-04-27,,"Alan Rickman","Die Hard","21 de febrero de 1946"
125,nm1785339,2023-04-27,2023-04-27,,"Rami Malek","Bohemian Rhapsody","12 de mayo de 1981"
126,nm0001497,2023-04-27,2023-04-27,,"Tobey Maguire","Brothers","27 de junio de 1975"
127,nm0000379,2023-04-27,2023-04-27,,"Kirsten Dunst","Spider-Man","30 de abril de 1982"
128,nm0290556,2023-04-27,2023-04-27,,"James Franco","Spring Breakers","19 de abril de 1978"
129,nm0910607,2023-04-27,2023-04-27,,"Christoph Waltz","Django Unchained","4 de octubre de 1956"
130,nm0000474,2023-04-27,2023-04-27,,"Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","5 de septiembre de 1951"
131,nm0000255,2023-04-27,2023-04-27,,"Ben Affleck","Argo","15 de agosto de 1972"
132,nm0147147,2023-04-27,2023-04-27,,"Henry Cavill","Man of Steel","5 de mayo de 1983"
